,lat,lon,zip
0,33.974027,-118.249509,90001
1,33.949099,-118.246737,90002
2,33.964131,-118.272783,90003
3,34.076198,-118.310722,90004
4,34.059163,-118.306892,90005
5,34.048041,-118.294177,90006
6,34.028127,-118.28483,90007
7,34.009552,-118.346724,90008
8,34.062148,-118.315889,90010
9,34.00709,-118.25868,90011
10,34.065975,-118.238642,90012
11,34.045406,-118.240454,90013
12,34.043146,-118.251746,90014
13,34.039378,-118.2663,90015
14,34.028332,-118.354337,90016
15,34.052913,-118.26434,90017
16,34.028887,-118.317183,90018
17,34.049841,-118.33846,90019
18,34.066379,-118.30987,90020
19,34.029036,-118.23787,90021
20,34.023728,-118.156274,90022
21,34.022501,-118.199613,90023
22,34.065737,-118.435016,90024
23,34.045421,-118.445873,90025
24,34.080017,-118.262643,90026
25,34.127607,-118.296387,90027
26,34.099912,-118.326912,90028
27,34.089848,-118.294661,90029
28,34.085784,-118.206666,90031
29,34.078195,-118.185502,90032
30,34.047164,-118.206614,90033
31,34.030578,-118.399613,90034
32,34.051808,-118.383674,90035
33,34.07041,-118.35041,90036
34,34.002717,-118.287486,90037
35,34.088474,-118.325526,90038
36,34.111885,-118.261032,90039
37,33.994523,-118.149952,90040
38,34.137412,-118.207607,90041
39,34.114708,-118.192098,90042
40,33.988505,-118.336358,90043
41,33.952725,-118.291904,90044
42,33.942143,-118.41733,90045
43,34.10781,-118.362247,90046
44,33.953617,-118.308429,90047
45,34.072926,-118.372712,90048
46,34.09254,-118.491064,90049
47,33.988047,-118.370361,90056
48,34.061735,-118.276757,90057
49,34.002844,-118.2164,90058
50,33.926262,-118.249883,90059
51,33.92128,-118.274186,90061
52,34.003638,-118.308806,90062
53,34.045105,-118.185914,90063
54,34.037252,-118.423573,90064
55,34.112272,-118.225496,90065
56,34.002028,-118.430656,90066
57,34.057597,-118.413998,90067
58,34.129772,-118.330989,90068
59,34.093831,-118.381697,90069
60,34.052876,-118.254943,90071
61,34.108023,-118.456964,90077
62,34.040587,-118.255403,90079
63,33.975411,-118.416997,90094
64,33.974027,-118.249509,90001
65,33.949099,-118.246737,90002
66,33.964131,-118.272783,90003
67,34.076198,-118.310722,90004
68,34.059163,-118.306892,90005
69,34.048041,-118.294177,90006
70,34.028127,-118.28483,90007
71,34.009552,-118.346724,90008
72,34.062148,-118.315889,90010
73,34.00709,-118.25868,90011
74,34.065975,-118.238642,90012
75,34.045406,-118.240454,90013
76,34.043146,-118.251746,90014
77,34.039378,-118.2663,90015
78,34.028332,-118.354337,90016
79,34.052913,-118.26434,90017
80,34.028887,-118.317183,90018
81,34.049841,-118.33846,90019
82,34.066379,-118.30987,90020
83,34.029036,-118.23787,90021
84,34.023728,-118.156274,90022
85,34.022501,-118.199613,90023
86,34.065737,-118.435016,90024
87,34.045421,-118.445873,90025
88,34.080017,-118.262643,90026
89,34.127607,-118.296387,90027
90,34.099912,-118.326912,90028
91,34.089848,-118.294661,90029
92,34.085784,-118.206666,90031
93,34.078195,-118.185502,90032
94,34.047164,-118.206614,90033
95,34.030578,-118.399613,90034
96,34.051808,-118.383674,90035
97,34.07041,-118.35041,90036
98,34.002717,-118.287486,90037
99,34.088474,-118.325526,90038
100,34.111885,-118.261032,90039
101,33.994523,-118.149952,90040
102,34.137412,-118.207607,90041
103,34.114708,-118.192098,90042
104,33.988505,-118.336358,90043
105,33.952725,-118.291904,90044
106,33.942143,-118.41733,90045
107,34.10781,-118.362247,90046
108,33.953617,-118.308429,90047
109,34.072926,-118.372712,90048
110,34.09254,-118.491064,90049
111,33.988047,-118.370361,90056
112,34.061735,-118.276757,90057
113,34.002844,-118.2164,90058
114,33.926262,-118.249883,90059
115,33.92128,-118.274186,90061
116,34.003638,-118.308806,90062
117,34.045105,-118.185914,90063
118,34.037252,-118.423573,90064
119,34.112272,-118.225496,90065
120,34.002028,-118.430656,90066
121,34.057597,-118.413998,90067
122,34.129772,-118.330989,90068
123,34.093831,-118.381697,90069
124,34.052876,-118.254943,90071
125,34.108023,-118.456964,90077
126,34.040587,-118.255403,90079
127,33.975411,-118.416997,90094
128,33.974027,-118.249509,90001
129,33.949099,-118.246737,90002
130,33.964131,-118.272783,90003
131,34.076198,-118.310722,90004
132,34.059163,-118.306892,90005
133,34.048041,-118.294177,90006
134,34.028127,-118.28483,90007
135,34.009552,-118.346724,90008
136,34.062148,-118.315889,90010
137,34.00709,-118.25868,90011
138,34.065975,-118.238642,90012
139,34.045406,-118.240454,90013
140,34.043146,-118.251746,90014
141,34.039378,-118.2663,90015
142,34.028332,-118.354337,90016
143,34.052913,-118.26434,90017
144,34.028887,-118.317183,90018
145,34.049841,-118.33846,90019
146,34.066379,-118.30987,90020
147,34.029036,-118.23787,90021
148,34.023728,-118.156274,90022
149,34.022501,-118.199613,90023
150,34.065737,-118.435016,90024
151,34.045421,-118.445873,90025
152,34.080017,-118.262643,90026
153,34.127607,-118.296387,90027
154,34.099912,-118.326912,90028
155,34.089848,-118.294661,90029
156,34.085784,-118.206666,90031
157,34.078195,-118.185502,90032
158,34.047164,-118.206614,90033
159,34.030578,-118.399613,90034
160,34.051808,-118.383674,90035
161,34.07041,-118.35041,90036
